-0.09,-0.31,11.24,0.05,0.02,-0.03
0.35,0.2,12.87,0.25,-0.1,0.05
0.1,0.49,11.6,0.3,-0.11,-0.09
0.1,0.17,9,0.33,-0.03,-0.09
-0.05,0.29,7.47,0.78,-0.05,-0.18
0.23,1.1,7.6,0.29,0.04,0
0.31,1.23,6.9,-0.15,-0.08,-0.01
0.34,1.48,7.72,-0.31,0.17,0.01
-0.11,1.15,11.07,-0.6,-0.09,0.07
-0.11,0.54,11.33,-0.14,0.03,0
0.25,0.24,11.17,-0.16,-0.02,-0.01
-0.07,0.45,10.63,-0.02,-0.02,-0.01
-0.04,0.31,10.39,-0.11,-0.07,-0.01
0.16,0.18,11.12,0.04,0.08,-0.06
0.05,0.23,12.47,0.11,0.11,0.05
0,0,0,0,0,0
-0.12,-0.15,9.59,0.64,-0.02,-0.12
0.2,0.55,7.2,0.73,-0.07,-0.16
0.29,1.29,6.53,0.18,-0.12,0.01
0.2,1.37,6.8,-0.38,0.27,0.01
-0.06,0.71,8.16,-0.81,-0.31,0.1
-0.14,0.11,10.19,-0.62,-0.13,0.09
0.16,-0.42,12.63,-0.46,0.34,-0.03
-0.25,-0.21,12.06,0.05,0.04,-0.14
-0.14,-0.43,10,0,-0.01,-0.06
-0.17,-0.22,10.98,-0.03,-0.1,-0.03
0.63,-0.66,11.89,0.25,-0.21,0.01
0.13,0.25,9.31,0.68,0.08,0
0,0.69,8.07,0.56,-0.03,-0.08
0.07,0.94,7.34,0.28,-0.03,-0.08
0.15,1.12,6.78,-0.13,0.03,-0.04
0.16,0.87,7.8,-0.46,0.14,0
0.19,0.49,10.72,-0.61,0.19,-0.01
-0.07,0.71,11.34,-0.34,0.1,0.03
0,0,0,0,0,0
-0.25,-0.2,11.82,-0.21,-0.06,0.02
-0.31,-0.02,10.83,0.03,0.03,-0.05
0,0,0,0,0,0
-0.22,-0.36,10.39,0.01,-0.05,-0.01
0,0,0,0,0,0
0.18,-0.75,12.08,0.02,-0.08,0.05
0.04,-0.44,9.92,0,0,0
0.16,-0.02,7.64,0.63,-0.08,-0.11
0.29,0.54,6.88,0.33,-0.07,0
-0.03,0.78,6.76,-0.08,0.15,-0.03
0.02,0.8,8.48,-0.46,0.01,-0.01
-0.09,-0.16,11.72,-0.49,0,-0.01
-0.42,-0.27,12.13,-0.18,0.04,-0.07
0,0,0,0,0,0
-0.24,-0.36,10.09,-0.04,-0.01,-0.01
-0.85,-0.28,12.13,0.32,0.44,0.02
0,0,0,0,0,0
-0.13,0.13,10.02,0.03,-0.01,0
-0.25,-0.69,10.35,0.06,0,0
0,0,0,0,0,0
-0.19,0.18,10,-0.02,-0.01,-0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-0.19,0.2,9.97,0.01,-0.01,-0.01
-0.19,0.21,9.98,0.01,-0.01,-0.01
-0.2,0.2,9.98,0.01,-0.01,-0.01
-0.2,0.21,9.98,0.01,-0.01,-0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-0.19,0.2,9.97,0.01,-0.01,-0.01
0,0,0,0,0,0
0,0,0,0,0,0
-0.18,0.2,9.99,0.01,-0.01,-0.01
-0.18,0.2,9.99,0.01,-0.01,-0.01
-0.18,0.19,9.98,0.01,-0.01,-0.01
-0.2,0.2,9.98,0.01,-0.01,-0.01
-0.19,0.2,9.98,0.01,-0.01,-0.01
