-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.19,0.14,9.98,0.01,-0.01,-0.01
-0.19,0.14,9.98,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.21,0.13,9.99,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.19,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.16,9.97,0.01,-0.01,-0.01
-0.19,0.14,9.97,0.01,-0.01,-0.01
-0.2,0.14,9.97,0.01,-0.01,-0.01
-0.19,0.15,9.97,0.01,-0.01,-0.01
-0.2,0.14,9.97,0.01,-0.01,-0.01
-0.19,0.14,9.97,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.97,0.01,-0.01,-0.01
-0.19,0.15,9.97,0.01,-0.01,-0.01
-0.2,0.15,9.97,0,0,0
-0.2,0.15,9.97,0.01,-0.01,-0.01
-0.2,0.14,9.96,0.01,-0.01,-0.01
-0.2,0.14,9.97,0.01,-0.01,-0.01
-0.2,0.15,9.97,0.01,-0.01,-0.01
-0.19,0.15,9.97,0.01,-0.01,-0.01
-0.19,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.97,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.99,0.01,-0.01,-0.01
-0.2,0.14,9.99,0.01,-0.01,-0.01
-0.18,0.15,9.99,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.21,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
0,0,0,0,0,0
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.99,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.21,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.97,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.19,0.15,9.99,0.01,-0.01,-0.01
-0.2,0.15,9.97,0.01,-0.01,-0.01
-0.2,0.14,9.99,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.2,0.14,9.98,0.01,-0.01,-0.01
-0.19,0.14,9.97,0.01,-0.01,-0.01
-0.21,0.14,9.98,0.01,-0.01,-0.01
0,0,0,0,0,0
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.16,9.98,0.01,-0.01,-0.01
-0.19,0.15,9.98,0.01,-0.01,-0.01
-0.19,0.16,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.15,9.98,0.01,-0.01,-0.01
-0.2,0.16,9.98,0.01,-0.01,-0.01
0,0,0,0,0,0
-0.2,0.15,9.99,0.01,-0.01,-0.01
